==14471== NVPROF is profiling process 14471, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14471== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14471== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14471== Profiling result:
==14471== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force_AL(float const *, unsigned char, float*)
          8       l2_subp0_total_write_sector_queries           8          20          12          96
          8       l2_subp1_total_write_sector_queries       31002       31196       31114      248915
          8       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          8       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          8      l2_subp0_write_sysmem_sector_queries           5           5           5          40
          8      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          8                         elapsed_cycles_sm     6204375     6237561     6218157    49745259
          8                             gld_inst_8bit           0           0           0           0
          8                            gld_inst_16bit           0           0           0           0
          8                            gld_inst_32bit     1049600     1049600     1049600     8396800
          8                            gld_inst_64bit           0           0           0           0
          8                           gld_inst_128bit           0           0           0           0
          8                             gst_inst_8bit           0           0           0           0
          8                            gst_inst_16bit           0           0           0           0
          8                            gst_inst_32bit        1027        1032        1029        8232
          8                            gst_inst_64bit           1           5           2          21
          8                           gst_inst_128bit           0           0           0           0
          8                           prof_trigger_00           0           0           0           0
          8                           prof_trigger_01           0           0           0           0
          8                           prof_trigger_02           0           0           0           0
          8                           prof_trigger_03           0           0           0           0
          8                           prof_trigger_04           0           0           0           0
          8                           prof_trigger_05           0           0           0           0
          8                           prof_trigger_06           0           0           0           0
          8                           prof_trigger_07           0           0           0           0
          8                            warps_launched       32768       32768       32768      262144
          8                              inst_issued0    13469190    13553143    13518639   108149118
          8                              inst_issued1     1229024     1229892     1229476     9835808
          8                              inst_issued2      212997      213049      213004     1704033
          8                             inst_executed     1653852     1654948     1654422    13235380
          8                      thread_inst_executed    46277724    46278820    46278294   370226356
          8   not_predicated_off_thread_inst_executed    38935834    38953802    38939817   311518536
          8                             active_cycles     6127677     6160033     6137362    49098901
          8                              active_warps    40747814    41651960    41052841   328422730
          8                               global_load       33792       33792       33792      270336
          8                              global_store       35840       35840       35840      286720
          8                              generic_load           0           0           0           0
          8                             generic_store           0           0           0           0
          8                     inst_executed_in_trap           0           0           0           0
          8                     active_cycles_in_trap           0           0           0           0
          8                               local_store           0           0           0           0
          8                                local_load           0           0           0           0
          8                               shared_load      112640      112640      112640      901120
          8                              shared_store      139264      139264      139264     1114112
          8             inst_executed_shared_atom_cas           0           0           0           0
          8                               shared_atom           0           0           0           0
          8                           global_atom_cas       30002       30195       30083      240671
          8                                atom_count           0           0           0           0
          8                                gred_count           0           0           0           0
          8                          divergent_branch        5120        5120        5120       40960
          8                                    branch      155936      156148      156040     1248320
          8                   shared_ld_bank_conflict           0         264          35         284
          8                   shared_st_bank_conflict           0           0           0           0
          8                    shared_ld_transactions       75776       77661       76214      609714
          8                    shared_st_transactions       98304      101559       99180      793440
          8                          active_cycles_pm     6124220     6144669     6133147    49065176
          8                           active_warps_pm    40734234    41552036    40986515   327892122
          8                         elapsed_cycles_pm     6213120     6229380     6221733    49773864
    Kernel: brute_force(float const *, char const *, char const *, unsigned char, unsigned char, bool, float*)
          1                 tex0_cache_sector_queries    29563692    29563692    29563692    29563692
          1                 tex1_cache_sector_queries    29523156    29523156    29523156    29523156
          1                  tex0_cache_sector_misses    11439583    11439583    11439583    11439583
          1                  tex1_cache_sector_misses    11463137    11463137    11463137    11463137
          1                     fb_subp0_read_sectors          17          17          17          17
          1                     fb_subp1_read_sectors          18          18          18          18
          1                    fb_subp0_write_sectors      314250      314250      314250      314250
          1                    fb_subp1_write_sectors      294822      294822      294822      294822
          1              l2_subp0_write_sector_misses      306252      306252      306252      306252
          1              l2_subp1_write_sector_misses      302820      302820      302820      302820
          1               l2_subp0_read_sector_misses          19          19          19          19
          1               l2_subp1_read_sector_misses          16          16          16          16
          1          l2_subp0_read_tex_sector_queries     3556670     3556670     3556670     3556670
          1          l2_subp1_read_tex_sector_queries     3355266     3355266     3355266     3355266
          1         l2_subp0_write_tex_sector_queries     4195712     4195712     4195712     4195712
          1         l2_subp1_write_tex_sector_queries     3996288     3996288     3996288     3996288
          1             l2_subp0_read_tex_hit_sectors     3560963     3560963     3560963     3560963
          1             l2_subp1_read_tex_hit_sectors     3354017     3354017     3354017     3354017
          1            l2_subp0_write_tex_hit_sectors     4123952     4123952     4123952     4123952
          1            l2_subp1_write_tex_hit_sectors     3922972     3922972     3922972     3922972
          1        l2_subp0_total_read_sector_queries     3572567     3572567     3572567     3572567
          1        l2_subp1_total_read_sector_queries     3364721     3364721     3364721     3364721
          1       l2_subp0_total_write_sector_queries     4199209     4199209     4199209     4199209
          1       l2_subp1_total_write_sector_queries     3992804     3992804     3992804     3992804
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm    28707495    28707495    28707495    28707495
          1                             gld_inst_8bit     3207168     3207168     3207168     3207168
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit      215040      215040      215040      215040
          1                            gld_inst_64bit           0           0           0           0
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit     1048576     1048576     1048576     1048576
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched       32768       32768       32768       32768
          1                              inst_issued0    41067039    41067039    41067039    41067039
          1                              inst_issued1    56550432    56550432    56550432    56550432
          1                              inst_issued2    16457728    16457728    16457728    16457728
          1                             inst_executed    89464832    89464832    89464832    89464832
          1                      thread_inst_executed  2067295232  2067295232  2067295232  2067295232
          1   not_predicated_off_thread_inst_executed  1949332480  1949332480  1949332480  1949332480
          1                             active_cycles    28500396    28500396    28500396    28500396
          1                              active_warps  1682730876  1682730876  1682730876  1682730876
          1                               global_load      107520      107520      107520      107520
          1                              global_store       32768       32768       32768       32768
          1                              generic_load           0           0           0           0
          1                             generic_store           0           0           0           0
          1                     inst_executed_in_trap           0           0           0           0
          1                     active_cycles_in_trap           0           0           0           0
          1                               local_store     2015232     2015232     2015232     2015232
          1                                local_load     7389184     7389184     7389184     7389184
          1                               shared_load     6512640     6512640     6512640     6512640
          1                              shared_store        9216        9216        9216        9216
          1             inst_executed_shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                          divergent_branch           0           0           0           0
          1                                    branch     7579648     7579648     7579648     7579648
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions     6389760     6389760     6389760     6389760
          1                    shared_st_transactions        9216        9216        9216        9216
          1                          active_cycles_pm    28536854    28536854    28536854    28536854
          1                           active_warps_pm  1683605482  1683605482  1683605482  1683605482
          1                         elapsed_cycles_pm    28691181    28691181    28691181    28691181
