==14432== NVPROF is profiling process 14432, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14432== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14432== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14432== Profiling result:
==14432== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force_AL(float const *, unsigned char, float*)
          7                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       0.73%       0.73%       0.73%
          7                         shared_efficiency                                              Shared Memory Efficiency       3.22%       3.22%       3.22%
          7                                inst_fp_32                                               FP Instructions(Single)   440401920   440401920   440401920
          7                                inst_fp_64                                               FP Instructions(Double)           0           0           0
          7                              inst_integer                                                  Integer Instructions  1371779072  1371779072  1371779072
          7                          inst_bit_convert                                              Bit-Convert Instructions   247463936   247463936   247463936
          7                              inst_control                                             Control-Flow Instructions    71303168    71303168    71303168
          7                        inst_compute_ld_st                                               Load/Store Instructions   469143552   469143552   469143552
          7                                 inst_misc                                                     Misc Instructions   184549376   184549376   184549376
          7           inst_inter_thread_communication                                             Inter-Thread Instructions           0           0           0
          7                               issue_slots                                                           Issue Slots    73046806    73047074    73046878
          7                                 cf_issued                                      Issued Control-Flow Instructions     4995072     4995072     4995072
          7                               cf_executed                                    Executed Control-Flow Instructions     4995072     4995072     4995072
          7                               ldst_issued                                        Issued Load/Store Instructions    38111232    38111232    38111232
          7                             ldst_executed                                      Executed Load/Store Instructions    15054848    15054848    15054848
          7                       atomic_transactions                                                   Atomic Transactions           0           0           0
          7           atomic_transactions_per_request                                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          7                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          7                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)           0           0           0
          7                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)      669565      672716      671183
          7                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.08%       0.09%       0.08%
          7                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       6.57%       6.59%       6.58%
          7                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)     2752512     2752512     2752512
          7                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          7                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          7                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          7                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          7                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          7                   sysmem_read_utilization                                        System Memory Read Utilization    Idle (0)    Idle (0)    Idle (0)
          7                  sysmem_write_utilization                                       System Memory Write Utilization     Low (1)     Low (1)     Low (1)
          7               pcie_total_data_transmitted                                           PCIe Total Data Transmitted           0         512         365
          7                  pcie_total_data_received                                              PCIe Total Data Received           0           0           0
          7                inst_executed_global_loads                              Warp level instructions for global loads        7168        7168        7168
          7                 inst_executed_local_loads                               Warp level instructions for local loads     7208960     7208960     7208960
          7                inst_executed_shared_loads                              Warp level instructions for shared loads     7045120     7045120     7045120
          7               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          7               inst_executed_global_stores                             Warp level instructions for global stores       32768       32768       32768
          7                inst_executed_local_stores                              Warp level instructions for local stores      655360      655360      655360
          7               inst_executed_shared_stores                             Warp level instructions for shared stores        7168        7168        7168
          7              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          7              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas           0           0           0
          7           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
          7             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          7          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          7              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          7                     inst_executed_tex_ops                                   Warp level instructions for texture           0           0           0
          7                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads      444864      445088      444955
          7                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads    20979584    21099648    21025883
          7                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          7               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.    88080384    88080384    88080384
          7                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions           0           0           0
          7              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics           0           0           0
          7                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          7                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          7             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          7                      global_load_requests              Total number of global load requests from Multiprocessor       27648       27648       27648
          7                       local_load_requests               Total number of local load requests from Multiprocessor    28180480    28180480    28180480
          7                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          7                     global_store_requests             Total number of global store requests from Multiprocessor      131072      131072      131072
          7                      local_store_requests              Total number of local store requests from Multiprocessor     2621440     2621440     2621440
          7                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          7                    global_atomic_requests            Total number of global atomic requests from Multiprocessor           0           0           0
          7                 global_reduction_requests         Total number of global reduction requests from Multiprocessor           0           0           0
          7                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          7                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          7                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          7                        sysmem_write_bytes                                             System Memory Write Bytes         160         160         160
          7                           l2_tex_hit_rate                                                     L2 Cache Hit Rate      95.87%      96.00%      95.95%
          7                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
          7                     unique_warps_launched                                              Number of warps launched       32768       32768       32768
          7                             sm_efficiency                                               Multiprocessor Activity      99.25%      99.52%      99.42%
          7                        achieved_occupancy                                                    Achieved Occupancy    0.918586    0.920678    0.919682
          7                                       ipc                                                          Executed IPC    4.086025    4.097675    4.091586
          7                                issued_ipc                                                            Issued IPC    4.086072    4.096116    4.090826
