==14088== NVPROF is profiling process 14088, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14088== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14088== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14088== Profiling result:
==14088== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force_AL(float const *, unsigned char, float*)
          7                        sysmem_write_bytes                                             System Memory Write Bytes         160         160         160
          7                           l2_tex_hit_rate                                                     L2 Cache Hit Rate      95.92%      95.97%      95.94%
          7                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
          7                     unique_warps_launched                                              Number of warps launched       32768       32768       32768
          7                             sm_efficiency                                               Multiprocessor Activity      99.09%      99.78%      99.42%
          7                        achieved_occupancy                                                    Achieved Occupancy    0.930508    0.932395    0.931521
          7                                       ipc                                                          Executed IPC    4.081669    4.095165    4.088494
          7                                issued_ipc                                                            Issued IPC    4.081736    4.091034    4.087656
          7                    issue_slot_utilization                                                Issue Slot Utilization      80.64%      80.82%      80.75%
          7                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    6.801318    6.818623    6.810927
          7                           tex_utilization                                             Unified Cache Utilization    High (9)    High (9)    High (9)
          7                            l2_utilization                                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          7                        shared_utilization                                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          7                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          7                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          7                    special_fu_utilization                                     Special Function Unit Utilization    High (7)    High (7)    High (7)
          7                        tex_fu_utilization                                     Texture Function Unit Utilization    High (9)    High (9)    High (9)
          7           single_precision_fu_utilization                            Single-Precision Function Unit Utilization    High (7)    High (7)    High (7)
          7           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          7                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
