==15411== NVPROF is profiling process 15411, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==15411== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15411== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==15411== Profiling result:
==15411== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force(unsigned char, unsigned char, bool, float*)
          1             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          1                      global_load_requests              Total number of global load requests from Multiprocessor           0           0           0
          1                       local_load_requests               Total number of local load requests from Multiprocessor           0           0           0
          1                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          1                     global_store_requests             Total number of global store requests from Multiprocessor      131072      131072      131072
          1                      local_store_requests              Total number of local store requests from Multiprocessor           0           0           0
          1                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          1                    global_atomic_requests            Total number of global atomic requests from Multiprocessor           0           0           0
          1                 global_reduction_requests         Total number of global reduction requests from Multiprocessor           0           0           0
          1                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          1                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          1                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          1                        sysmem_write_bytes                                             System Memory Write Bytes         160         160         160
          1                           l2_tex_hit_rate                                                     L2 Cache Hit Rate       0.00%       0.00%       0.00%
          1                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
          1                     unique_warps_launched                                              Number of warps launched       32768       32768       32768
          1                             sm_efficiency                                               Multiprocessor Activity      99.40%      99.40%      99.40%
          1                        achieved_occupancy                                                    Achieved Occupancy    0.792857    0.792857    0.792857
          1                                       ipc                                                          Executed IPC    3.700853    3.700853    3.700853
          1                                issued_ipc                                                            Issued IPC    3.700895    3.700895    3.700895
          1                    issue_slot_utilization                                                Issue Slot Utilization      81.82%      81.82%      81.82%
          1                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    6.765306    6.765306    6.765306
          1                           tex_utilization                                             Unified Cache Utilization    Idle (0)    Idle (0)    Idle (0)
          1                            l2_utilization                                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          1                        shared_utilization                                             Shared Memory Utilization     Low (2)     Low (2)     Low (2)
          1                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (2)     Low (2)     Low (2)
          1                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (3)     Low (3)     Low (3)
          1                    special_fu_utilization                                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           single_precision_fu_utilization                            Single-Precision Function Unit Utilization    High (8)    High (8)    High (8)
          1           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       0.82%       0.82%       0.82%
          1                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
          1                    dram_read_transactions                                       Device Memory Read Transactions         462         462         462
          1                   dram_write_transactions                                      Device Memory Write Transactions      130406      130406      130406
          1                      dram_read_throughput                                         Device Memory Read Throughput  6.2708MB/s  6.2708MB/s  6.2708MB/s
          1                     dram_write_throughput                                        Device Memory Write Throughput  1.7285GB/s  1.7285GB/s  1.7285GB/s
          1                          dram_utilization                                             Device Memory Utilization     Low (1)     Low (1)     Low (1)
          1             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                          ecc_transactions                                                      ECC Transactions           0           0           0
          1                            ecc_throughput                                                        ECC Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                           dram_read_bytes                                Total bytes read from DRAM to L2 cache       14784       14784       14784
          1                          dram_write_bytes                             Total bytes written from L2 cache to DRAM     4172992     4172992     4172992
    Kernel: reduce_argmin(float*, float*, unsigned long*)
          7                             inst_per_warp                                                 Instructions per warp   50.476074   50.504150   50.486276
          7                         branch_efficiency                                                     Branch Efficiency      96.72%      96.72%      96.72%
          7                 warp_execution_efficiency                                             Warp Execution Efficiency      87.39%      87.44%      87.42%
          7         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      73.53%      74.74%      73.72%
          7                      inst_replay_overhead                                           Instruction Replay Overhead    0.000620    0.000629    0.000624
          7      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.672727    0.865030    0.702540
          7     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.705882    0.946311    0.744144
          7       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          7      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          7              gld_transactions_per_request                                  Global Load Transactions Per Request   15.636423   15.636423   15.636423
          7              gst_transactions_per_request                                 Global Store Transactions Per Request    0.028655    0.028934    0.028743
          7                 shared_store_transactions                                             Shared Store Transactions       98304      131787      103632
          7                  shared_load_transactions                                              Shared Load Transactions       75776       97437       79134
          7                   local_load_transactions                                               Local Load Transactions           0           0           0
          7                  local_store_transactions                                              Local Store Transactions           0           0           0
          7                          gld_transactions                                              Global Load Transactions      528386      528386      528386
          7                          gst_transactions                                             Global Store Transactions        1027        1037        1030
          7                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          7                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
          7                      l2_read_transactions                                                  L2 Read Transactions      162082      162386      162251
          7                     l2_write_transactions                                                 L2 Write Transactions       31030       31280       31115
          7                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          7                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
          7                  gld_requested_throughput                                      Requested Global Load Throughput  6.5835GB/s  6.5946GB/s  6.5910GB/s
          7                  gst_requested_throughput                                     Requested Global Store Throughput  6.6290MB/s  6.6991MB/s  6.6571MB/s
          7                            gld_throughput                                                Global Load Throughput  6.6284GB/s  6.6397GB/s  6.6360GB/s
          7                            gst_throughput                                               Global Store Throughput  52.805MB/s  53.284MB/s  52.993MB/s
          7                     local_memory_overhead                                                 Local Memory Overhead       0.00%       0.00%       0.00%
          7                        tex_cache_hit_rate                                                Unified Cache Hit Rate      54.75%      54.78%      54.76%
