==15735== NVPROF is profiling process 15735, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==15735== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==15735== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
199.53ms     375ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.53ms     374ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.53ms     370ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.53ms     360ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.53ms     357ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.53ms     361ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.53ms  156.33us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.69ms     464ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.69ms     422ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.69ms     526ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.69ms     355ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.70ms     368ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.70ms     398ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.70ms     411ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.70ms     442ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.70ms     405ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.70ms     387ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.70ms     383ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.70ms     438ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.70ms     401ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.70ms     465ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.70ms     440ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.70ms     394ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.71ms     397ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.71ms     477ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.71ms     407ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.71ms     406ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.71ms     389ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.71ms  130.46us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.84ms     446ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.84ms     476ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.84ms     420ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.84ms     432ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.84ms     431ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.84ms     412ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.85ms     386ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.85ms  1.8270us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.85ms     550ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.85ms     381ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.85ms     370ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.85ms  1.0680us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.85ms     421ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.85ms     685ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.85ms     362ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.86ms     433ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.86ms     365ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.86ms     536ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetUuid
199.86ms     419ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.86ms     373ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.86ms     397ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
