==14415== NVPROF is profiling process 14415, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14415== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14415== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
197.03ms     387ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.04ms     430ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.04ms     426ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.04ms     429ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.04ms     460ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.04ms     475ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.04ms     427ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.04ms  174.70us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.22ms     495ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.22ms     473ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.22ms     632ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.22ms     394ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.22ms     446ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.22ms     456ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.22ms     707ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.22ms     701ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.22ms     434ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.23ms     433ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.23ms     400ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.23ms     430ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.23ms     428ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.23ms     585ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.23ms     428ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.23ms     429ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.23ms     429ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.23ms     723ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.23ms     447ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.23ms     444ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.24ms     428ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.24ms  191.28us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.43ms  1.1130us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.45ms     955ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.45ms     652ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.45ms     638ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.45ms     610ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.45ms     714ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.46ms     574ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.46ms  2.1360us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.46ms     834ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.46ms     614ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.46ms     561ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.46ms  1.4080us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.47ms     701ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.47ms  1.2830us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.47ms     657ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.47ms     670ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.47ms     602ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.47ms     779ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetUuid
197.48ms     650ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.48ms     531ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.48ms     537ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.48ms     556ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
