==13469== NVPROF is profiling process 13469, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==13469== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==13469== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
216.10ms     390ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.10ms     430ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.10ms     460ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.10ms     428ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.10ms     433ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.11ms     429ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.11ms     419ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.11ms  165.06us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.27ms     522ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.27ms     511ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.28ms     562ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.28ms     422ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.28ms     477ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.28ms     481ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.28ms     562ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.28ms     540ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.28ms     492ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.28ms     432ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.28ms     431ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.28ms     426ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.28ms     438ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.29ms     549ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.29ms     431ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.29ms     433ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.29ms     436ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.29ms     542ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.29ms     455ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.29ms     437ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.29ms     430ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.29ms  137.23us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
